שם עברית,תאריך דגימה,מספר זיהוי,B,BR,CA,CAFFE,CARBO,Cl,DO,DP-P,EC,ECFD,F,HARD,HCO3,K,Mg,NO2,NO3,ORP,PFBS,PFHpA,PFHxA,PFOA,PFOS,PHFD,PO4,SILT,SO4,SODIUM AS,SR,T,TDS,TN-N,TOC,TURB
 חביבה- עי כביש 6,14/01/2018 11:50,14114,,,56.954,,,55.1,,,,,,,177.0,11.974,6.065,,16.1,,,,,,,,,,14.9,33.32,,,,,,
אדוריים - גשר רכבת,02/02/2012 13:30,21120,,,21.69,,,15.89,,,,,,,117.0,2.86,7.11,,7.42,,,,,,,,,,10.76,20.71,,,,,,
אדוריים - גשר רכבת,12/12/2002 00:00,21120,0.137,,20.02,,,16.4,,,,,,,112.4,1.54,5.87,,5.4,,,,,,,,,,2.5,23.22,,,,,,
אדוריים - גשר רכבת,20/03/2023 00:00,21120,,,14.6,,,,,,,,,,80.0,3.98,,,2.206,,,,,,,,,,,,,,,,,
אדוריים - גשר רכבת,21/12/2002 00:00,21120,0.057,,27.16,,,21.34,,,,,,,120.6,1.94,7.42,,7.2,,,,,,,,,,2.9,15.02,,,,,,
אדוריים - גשר רכבת,23/12/2002 00:00,21120,,,,,,10.85,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,
אדוריים - גשר רכבת,25/12/2002 00:00,21120,0.184,,12.54,,,10.85,,,,,,,112.0,1.38,5.53,,4.28,,,,,,,,,,10.85,28.78,,,,,,
אדוריים - גשר רכבת,27/12/2006 00:00,21120,0.351,0.2,8.9,,,21.6,,,,,,,131.1,1.9,3.75,,9.8,,,,,,,,,,12.2,55.3,,,,,,
אור,21/12/2012 10:00,31130,,,37.9,,,23.6,,,,,,,140.0,7.4,9.7,,16.15,,,,,,,,,,14.89,15.1,,,,,,
אזור - תעלה,01/12/2021 13:45,17268,,,,,,25.3,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,
אזור - תעלה,07/01/2013 00:00,17268,,,23.0,,,43.5,,,,,,,56.0,3.1,2.9,,2.2,,,,,,,,,,21.7,24.2,,,,,,
אזור - תעלה,07/02/2023 00:00,17268,,,21.8,,,35.56,,,,,,,67.0,8.16,4.08,,2.845,,,,,,,,2.241,,10.742,19.2,,,,2.089,4.353,
אזור - תעלה,16/12/2020 12:35,17268,,,12.7,,,5.0,,,,,,,47.0,1.9,1.2,,1.6,,,,,,,,,,5.1,,,,,,,
אזור - תעלה,17/02/2021 12:10,17268,,0.123,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
אזור - תעלה,21/11/2021 12:30,17268,,,,,,12.3,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
אזור - תעלה,26/11/2014 00:00,17268,,,22.1,,,24.4,,,,,,,69.0,2.84,1.68,,1.9,,,,,,,,,,7.7,14.41,,,,,,
אזור - תעלה,29/12/2019 07:00,17268,,,15.9,,,11.7,,,,,,,58.0,2.8,2.1,,2.1,,,,,,,,,,5.5,8.9,,,,,,
איילון - כביש בית דגן-יהוד,02/01/1983 00:00,17165,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,02/02/1975 00:00,17165,,,,,,34.0,,,,,,,,,,,,,,,,,,,,4.702,,,,,,,,
איילון - כביש בית דגן-יהוד,02/03/1980 00:00,17165,,,,,,25.0,,,,,,,,,,,,,,,,,,,,4.617,,,,,,,,
איילון - כביש בית דגן-יהוד,02/12/1991 09:44,17165,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,02/12/1994 00:00,17165,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,03/01/1977 00:00,17165,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,03/02/1957 00:00,17165,,,,,,26.0,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,
איילון - כביש בית דגן-יהוד,03/02/1997 00:00,17165,,0.0,51.0,,,38.0,,,,,,,170.0,7.0,7.0,,5.0,,,,,,,,,,17.0,25.0,,,,,,
איילון - כביש בית דגן-יהוד,03/12/1963 00:00,17165,,,,,,65.0,,,469.0,,,,,,,,,,,,,,,,,1.607,,,,,4314.0,,,
איילון - כביש בית דגן-יהוד,03/12/1991 13:05,17165,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,05/01/1983 00:00,17165,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,06/01/1956 00:00,17165,,,,,,18.0,,,,,,13.0,,,,,,,,,,,,,,1.875,,,,,170.0,,,
איילון - כביש בית דגן-יהוד,07/01/1969 00:00,17165,,,,,,50.0,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,
איילון - כביש בית דגן-יהוד,07/02/1972 00:00,17165,,,,,,22.0,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,
איילון - כביש בית דגן-יהוד,07/03/1973 00:00,17165,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,07/12/1955 00:00,17165,,,,,,13.0,,,,,,10.0,,,,,,,,,,,,8.2,,5.225,,,,,108.0,,,
איילון - כביש בית דגן-יהוד,07/12/1957 00:00,17165,,,,,,20.0,,,,,,,,,,,,,,,,,,,,3.092,,,,,158.0,,,
איילון - כביש בית דגן-יהוד,08/01/1969 00:00,17165,,,,,,40.0,,,,,,,,,,,,,,,,,,,,0.337,,,,,,,,
איילון - כביש בית דגן-יהוד,08/03/1973 00:00,17165,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,08/12/1955 00:00,17165,,,,,,20.0,,,,,,10.0,,,,,,,,,,,,8.3,,1.15,,,,,139.0,,,
איילון - כביש בית דגן-יהוד,08/12/1957 00:00,17165,,,,,,13.0,,,,,,,,,,,,,,,,,,,,2.752,,,,,159.0,,,
איילון - כביש בית דגן-יהוד,09/02/1961 00:00,17165,,,,,,25.0,,,262.0,,,14.0,,,,,,,,,,,,,,2.65,,,,,150.0,,,
איילון - כביש בית דגן-יהוד,09/11/1986 00:00,17165,,,41.0,,,45.0,,,,,,,131.0,6.5,6.5,,12.0,,,,,,,,,3.278,26.0,34.0,,,,,,
